operacao,arvore,arquivo,comparacoes,tempo,nao_encontrado,errado,correto,altura,total_usuarios
C,AVL,data/10u_base100mil_1e.csv,302,0.000000,0,1,9,0,10
I,AVL,data/100mil_ordenado.csv,899903,0.119000,0,0,0,17,100000
C,AVL,data/10u_base100mil_5e.csv,302,0.000000,0,5,5,0,10
I,AVL,data/100mil_ordenado.csv,899903,0.105000,0,0,0,17,100000
C,AVL,data/100u_base100mil_10e.csv,3030,0.000000,0,10,90,0,100
I,AVL,data/100mil_ordenado.csv,899903,0.040000,0,0,0,17,100000
C,AVL,data/100u_base100mil_50e.csv,3030,0.000000,0,50,50,0,100
I,AVL,data/100mil_ordenado.csv,899903,0.038000,0,0,0,17,100000
C,AVL,data/1000u_base100mil_100e.csv,30404,0.002000,0,100,900,0,1000
I,AVL,data/100mil_ordenado.csv,899903,0.036000,0,0,0,17,100000
C,AVL,data/1000u_base100mil_500e.csv,30404,0.001000,0,500,500,0,1000
I,ABP,data/100mil_desordenado.csv,5211127,0.073000,0,0,0,39,100000
C,ABP,data/10u_base100mil_1e.csv,390,0.000000,0,1,9,0,10
I,AVL,data/100mil_desordenado.csv,820093,0.076000,0,0,0,20,100000
C,AVL,data/10u_base100mil_1e.csv,320,0.000000,0,1,9,0,10
I,ABP,data/100mil_desordenado.csv,5211127,0.138000,0,0,0,39,100000
C,ABP,data/10u_base100mil_5e.csv,390,0.000000,0,5,5,0,10
I,AVL,data/100mil_desordenado.csv,820093,0.071000,0,0,0,20,100000
C,AVL,data/10u_base100mil_5e.csv,320,0.000000,0,5,5,0,10
I,ABP,data/100mil_desordenado.csv,5211127,0.079000,0,0,0,39,100000
C,ABP,data/100u_base100mil_10e.csv,4018,0.000000,0,10,90,0,100
I,AVL,data/100mil_desordenado.csv,820093,0.074000,0,0,0,20,100000
C,AVL,data/100u_base100mil_10e.csv,3104,0.000000,0,10,90,0,100
I,ABP,data/100mil_desordenado.csv,5211127,0.108000,0,0,0,39,100000
C,ABP,data/100u_base100mil_50e.csv,4018,0.000000,0,50,50,0,100
